song_name,popularity,explicit,song_type,release_date_standard,song_id,duration_ms,key,mode,time_signature,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,valence,tempo
Booty,60,1,"Solo",2/27/2018,0FbSpY8RPxTRxi1Fpj9Dz9,160038,1,1,4,0.000831,0.938,0.549,0.000243,0.082,-8.368,0.098,0.412,144.005
Got a Hold on Me,41,0,"Solo",1/1/1984,0FCgqHNdcbhGIEmU8r6ZF1,232907,4,1,4,0.144,0.75,0.787,0.0000188,0.0513,-5.127,0.0292,0.718,129.37
Undercover Angel,25,0,"Solo",4/22/2016,0FCsjEXsqWjerWWwUutCsy,211227,5,1,4,0.226,0.673,0.663,0,0.121,-7.021,0.0397,0.725,98.618
My Way,20,0,"Solo",1/1/1970,0fcvrAmbVEy6V9szoadvNY,337733,1,1,4,0.586,0.593,0.32,0.00334,0.0804,-18.447,0.0378,0.595,108.284
Yes We Can Can,36,0,"Solo",9/9/1996,0FDOUdAowxW91IaiDIeguB,363093,7,1,4,0.0318,0.778,0.718,0.0000227,0.0942,-8.32,0.236,0.843,88.7
A Sky Full of Stars,75,0,"Solo",5/19/2014,0FDzzruyVECATHXKHFs9eJ,268467,6,1,4,0.00713,0.551,0.636,0.00203,0.217,-7.125,0.0281,0.153,124.996
Dashboard,60,0,"Solo",3/20/2007,0Fe3WxeO6lZZxj7ytvbDUh,246173,11,0,4,0.00963,0.639,0.903,0.0000706,0.174,-5.013,0.0371,0.96,135.938
(I'm Just A) Fool For You,6,0,"Solo",1/1/1967,0FESeUvkf85Xj65Yv08Ovf,160853,2,1,4,0.288,0.564,0.623,0.0000131,0.0947,-9.553,0.0319,0.911,110.613
You're My Everything,6,0,"Solo",4/29/2014,0FeTZY4qMZ2JtJs47ZE4SV,230067,8,0,4,0.737,0.762,0.621,0.192,0.299,-6.221,0.0298,0.317,91.01
Freak-A-Zoid,21,0,"Solo",8/11/2014,0fF4ejyjuyaivKZZcusSpA,239813,7,1,4,0.0471,0.789,0.908,0.0168,0.0701,-6.233,0.0649,0.877,121.152
Just Fishin',1,0,"Solo",6/7/2011,0FfaYaqn7Jyrlr0sRlNBxk,218844,11,1,4,0.0409,0.486,0.64,0.000178,0.165,-6.284,0.0283,0.186,86.574
Watch Closely Now,32,0,Collaboration,11/1/1976,0ffiZMtdzQcF9EbqgCyVoa,229293,7,1,4,0.00176,0.514,0.937,0.000882,0.942,-8.152,0.0564,0.701,129.687
Back When,37,0,"Solo",11/30/2010,0ffJDm1cI0tc7s80Yay2cL,269893,7,1,4,0.0627,0.604,0.759,0,0.321,-4.822,0.0279,0.663,136.045
Tracks of My Tears,25,0,"Solo",10/29/2007,0FFMHepFyZnxasNxUykTCo,174573,0,1,4,0.702,0.408,0.311,0,0.161,-11.52,0.0467,0.656,203.807
Together We Can Make Such Sweet Music,12,0,"Solo",1/1/1970,0ffOVvcToUWmxHPODrLUZw,184786,6,1,4,0.217,0.488,0.502,0,0.28,-11.378,0.0252,0.829,99.263
Bigger,45,0,"Solo",1/1/2009,0ffOWJVrYmtKcmQJbPWuhc,197800,5,0,4,0.226,0.78,0.748,0,0.352,-2.863,0.121,0.884,104.075
You Don't Know Like I Know,0,0,"Solo",6/29/2018,0ffZ7CVhHGmv1eArrqwjxo,162400,3,1,4,0.545,0.767,0.396,0.00079,0.0959,-13.706,0.0326,0.898,116.576
Shattered - Remastered,51,0,"Solo",6/9/1978,0FfZBWDv7p63yj6oh2I2PS,226800,4,1,4,0.454,0.734,0.952,0.0000548,0.119,-2.58,0.127,0.74,140.368
Shake That,70,1,Collaboration,12/6/2005,0fGh0trRN1xz3s41r7V5ce,274440,1,0,4,0.0556,0.962,0.64,0.0000197,0.158,-5.987,0.12,0.533,106.995
"My, Oh My",26,0,"Solo",1/1/2006,0fGIhWOJecR9u9Bo9UOTKC,210187,0,1,4,0.211,0.508,0.843,0.0000416,0.254,-4.433,0.0349,0.766,176.043
Make It Better (Forget About Me),13,0,"Solo",3/26/1985,0fglqorPFsc3ey1qud9B3P,263160,2,1,4,0.0991,0.564,0.676,0.0000517,0.177,-10.743,0.0436,0.739,126.477
Strap Me In,29,0,"Solo",1/1/1987,0fGxULfiyfL8M4SxwaDLU4,264573,9,0,4,0.101,0.551,0.805,0.0223,0.268,-9.16,0.0365,0.581,112.082
Ma belle amie - Sunshine Version,2,0,Collaboration,8/13/2014,0Fh5Y39uWVfyYbQzIDA6Db,208755,7,1,4,0.00706,0.691,0.741,0.0000042,0.35,-6.127,0.0827,0.922,161.97
Creeque Alley,19,0,"Solo",11/23/2018,0FhBVuzTCQFe8Yh9HUT2Ui,232893,9,1,4,0.264,0.573,0.565,0,0.0722,-12.043,0.0584,0.592,131.927
Ease On Down the Road (Karaoke Version) [Originally Performed By Michael Jackson and Diana Ross],0,0,"Solo",12/12/2013,0fhCHKDmOksqogHxrdMWis,176011,8,1,4,0.0254,0.752,0.874,0.901,0.0561,-8.036,0.0306,0.979,124.87
Never Had A Dream Come True,60,0,"Solo",6/12/2000,0fIG0HBRIjLRNDHAogtwSB,240492,5,1,4,0.527,0.646,0.549,0,0.0944,-5.578,0.0283,0.441,122.947
Don't Go Away,19,0,"Solo",8/5/2016,0fiMcp9sZoTzwdPduYSKDs,210600,8,1,4,0.00335,0.517,0.788,0.0000023,0.559,-3.124,0.0481,0.586,200.075
Flashdance... What A Feeling,47,0,"Solo",3/10/2015,0FIQjzPGk8eJd1cDRHRFWb,234040,7,0,4,0.124,0.644,0.624,0.0000042,0.232,-8.137,0.0363,0.578,124.917
I've Been Loving You Too Long (To Stop Now),31,0,Collaboration,7/12/2019,0FirKNAWeS1qKO49WEgSag,248560,9,1,3,0.612,0.323,0.473,0.000802,0.934,-9.266,0.128,0.216,84.055
Where Does The Lovin' Go,19,0,"Solo",1/1/1980,0FIWbmMoNPBCRHpp9e9lNz,187280,4,1,4,0.0424,0.465,0.324,0,0.137,-13.774,0.0286,0.358,85.456
Hallelujah Day,14,0,"Solo",3/29/1973,0FJ1zyoFwsAeF6UrByatoq,168600,0,1,4,0.138,0.78,0.781,0,0.175,-12.105,0.0501,0.919,126.76
Night and Day,24,0,"Solo",1/1/1990,0Fj3R6fZk7OnAYVmAvPCYa,330360,4,1,4,0.181,0.578,0.505,0.00007,0.63,-13.012,0.0253,0.316,133.902
Closer Than Friends,40,0,"Solo",1/1/1988,0fJaVTWulWUQ8zp5pXabTt,285253,5,1,4,0.13,0.769,0.326,0.0000016,0.139,-9.551,0.0409,0.742,96.976
If You Want This Love,1,0,"Solo",1/1/2013,0fJdb6am1UjjAdaZc3QC0m,124027,9,0,4,0.841,0.74,0.362,0.000814,0.0971,-9.941,0.0452,0.572,108.964
Always and Forever,53,0,"Solo",1/1/1976,0fKDnkXdfJwk0DEW9W83VY,287267,2,1,3,0.125,0.338,0.175,0.000088,0.108,-17.104,0.0319,0.201,152.604
Art For Art's Sake,37,0,"Solo",1/1/1976,0FkFTZOJ5Dt4RG4gAWB74z,359533,0,1,4,0.105,0.633,0.409,0.0262,0.0925,-10.582,0.0509,0.45,124.79
After the Goldrush,27,0,"Solo",10/30/2006,0fkx1Gu0Iep5bKeNiJ8Qfi,127173,3,1,5,0.963,0.469,0.048,0,0.118,-16.165,0.0502,0.176,129.904
The Year That Clayton Delaney Died,45,0,"Solo",1/15/1972,0flAGoxGqW59alVluO3ejM,166533,1,1,4,0.716,0.638,0.27,0.0000018,0.0968,-18.481,0.0331,0.913,132.755
Blurry,64,0,"Solo",8/28/2001,0FLBNqc5oAiTt4J2e3fe3y,303920,3,0,4,0.00691,0.432,0.936,0,0.14,-4.537,0.0562,0.499,157.469
Helluva Night,31,1,"Solo",1/1/2013,0flKDWZq11997Fb2ptkQvu,200387,2,1,4,0.0277,0.736,0.524,0,0.108,-8.011,0.0906,0.366,97.514
I Wanna Know Your Name,37,0,"Solo",1/1/1968,0FltFmk3k0U6R2vpzymmET,349693,4,1,3,0.386,0.344,0.478,0.0000029,0.131,-12.858,0.0388,0.37,114.695
Holidae In,61,0,Collaboration,1/1/2003,0FmCLEHfINGqwlyzvklNqy,314352,7,1,4,0.0893,0.81,0.791,0,0.0838,-5.909,0.181,0.948,153.067
Bringing It Back - Undubbed Version,12,0,"Solo",5/7/1975,0fMEI0RqBCeXnfw9SbPXQC,178307,7,1,4,0.258,0.687,0.581,0,0.0804,-11.304,0.0336,0.517,119.695
Fix a Heart,55,0,"Solo",1/1/2011,0fMhhdMdbC94rHHK63jwWu,193040,0,1,3,0.562,0.333,0.469,0,0.093,-7.877,0.0631,0.458,170.541
Wild Wild West,40,0,"Solo",8/1/2014,0fmjCC6ItD4vixqwLTNGfg,280840,1,1,4,0.00215,0.669,0.768,0.0000089,0.177,-9.089,0.0562,0.943,185.884
True Love,33,0,"Solo",1/1/1988,0fMlhe66IZtHbCSe5EGBlX,279693,0,1,4,0.456,0.741,0.486,0.000181,0.181,-12.478,0.0315,0.594,102.049
Spanish Flea,47,0,"Solo",10/1/1965,0fmNiN85g1XF1NemAGY7G2,126893,8,1,4,0.404,0.832,0.53,0.956,0.0669,-11.55,0.0788,0.867,81.673
Banapple Gas,20,0,"Solo",1/1/1975,0FMvskChcKWVnzTb66EV7S,189627,9,1,4,0.371,0.598,0.88,0.0000034,0.216,-6.955,0.0589,0.81,99.241
Your Mama Don't Dance,47,0,"Solo",3/21/1988,0FO5CkdIFiKOJNETXTyCMS,180493,1,1,4,0.0185,0.534,0.931,0,0.193,-3.606,0.0613,0.832,150.359
Wrack My Brain,26,0,"Solo",1/1/2007,0fOAIOvfKsD7XStpBkwKjJ,141667,11,1,4,0.135,0.684,0.734,0.0000931,0.123,-6.995,0.0302,0.898,130.62
When You Close Your Eyes,45,0,"Solo",1/1/1983,0FoB9BAV7B2Kv6NxOFZtSO,256507,0,1,4,0.016,0.472,0.635,0,0.132,-14.112,0.0357,0.591,138.181
Sideshow,48,0,"Solo",1/1/1974,0fopVbPW7N5BK0sOybQCq2,251520,7,1,4,0.837,0.586,0.337,0,0.628,-13.165,0.0347,0.543,133.229
Livin' Ain't Livin',27,0,"Solo",1/1/1976,0fowhnoYF7pKpalQ4z5I32,230667,2,0,4,0.276,0.494,0.666,0,0.159,-9.536,0.0518,0.651,140.544
Why I Love You,37,0,"Solo",1/1/2002,0fPBKo78nKsbIla2ExeefC,240640,0,1,4,0.0482,0.698,0.618,0,0.116,-5.83,0.0282,0.37,89.981
New Patek,73,1,"Solo",9/18/2018,0Fpen1PTuEnCmOJtUU9Iud,343099,8,0,4,0.0367,0.85,0.785,0,0.155,-4.963,0.345,0.718,145.063
What's It Gonna Be?! (feat. Janet Jackson),47,1,Collaboration,1/1/1998,0FpLfrOyHblbDlHUsrPN1N,324400,1,1,4,0.204,0.797,0.934,0,0.119,-4.507,0.0926,0.519,116.438
7 Things,55,0,"Solo",1/1/2008,0FpT75cRdvf6va1TARHrl5,213453,1,0,4,0.0244,0.591,0.904,0,0.0786,-4.478,0.0359,0.542,107.027
A Hurricane Is Coming Tonite,2,0,"Solo",1/1/1975,0FPZDwCZWqKHowIZmB4UEB,239667,1,0,4,0.0201,0.646,0.769,0.147,0.0707,-12.64,0.0308,0.973,129.327
Same Ol' Situation (S.O.S.),59,0,"Solo",1/1/1989,0FqMZmwe9qJ3nR5FuYpyoY,254040,2,1,4,0.0369,0.498,0.984,0.0000296,0.11,-3.295,0.127,0.257,139.712
Stand In For Love,1,0,"Solo",1/1/1985,0fsbt278cDl1rZsgdkCbMY,222467,2,1,4,0.357,0.427,0.398,0,0.117,-8.974,0.0416,0.549,124.87
Double Vision,51,0,"Solo",1/1/1978,0fsj3HxzBHev6EJ7OLFE3r,224533,9,0,4,0.179,0.682,0.711,0.0000953,0.126,-7.637,0.0325,0.766,129.546
Devil's Angels,2,0,"Solo",3/23/1993,0Ft1ot7dPf8jNShTfIWtSI,129760,10,1,4,0.00303,0.142,0.618,0.899,0.0808,-13.444,0.062,0.576,158.101
Lose My Mind,54,1,Collaboration,1/1/2011,0Ft6hwGWdCdujdK6TOfBV7,241947,1,1,4,0.0632,0.705,0.75,0,0.146,-4.558,0.0522,0.392,77.817
I Like,25,0,"Solo",1/1/2012,0FTdoRrJfN7daYvVEBPv7H,252573,8,0,4,0.0363,0.67,0.899,0.0000039,0.0515,-7.139,0.0405,0.834,143.048
Sign of the Times,36,0,"Solo",5/24/2004,0ftI96GEGTvqEyDqhI35Hx,174347,11,1,4,0.224,0.699,0.68,0,0.0529,-8.228,0.0599,0.857,113.889
Don't Let Go,10,0,"Solo",1/1/1975,0Fu1KwXkWdYt4QVTxcE5vt,160747,7,1,3,0.407,0.49,0.801,0.0000016,0.0611,-6.374,0.352,0.867,206.257
God Only Knows,35,0,"Solo",6/16/1966,0fu7P5TBdKG2YBREKCf6Gh,171627,9,1,4,0.301,0.53,0.422,0,0.0967,-10.742,0.0331,0.485,117.371
Moves,65,1,"Solo",2/3/2017,0Fv5N0cHBsl4bzCbollCAS,142907,2,1,4,0.0541,0.789,0.53,0,0.164,-6.2,0.293,0.367,75.515
Wings Of The Morning - Dynamik Duo Mix,37,0,Collaboration,9/16/2014,0fwGQDntOJmSgOfklrBm1Y,232973,11,0,4,0.0995,0.801,0.777,0.0000547,0.131,-4.099,0.209,0.71,87.983
Concrete And Clay,40,0,"Solo",9/29/2011,0fXd3B3PbDr1fQvgZ2ZLfV,136067,1,1,4,0.242,0.631,0.784,0,0.0448,-9.045,0.0374,0.969,100.749
Hell Breaks Loose,48,1,Collaboration,5/15/2009,0FXfAepEmqVCMnvOpb8Hoj,244160,6,1,4,0.123,0.685,0.884,0,0.105,-3.072,0.188,0.902,79.903
Wake Up And Be Somebody,8,0,"Solo",4/5/1977,0FYbAzaNnBTtgcmYGPdqS3,382427,10,0,4,0.344,0.668,0.889,0.000164,0.194,-10.809,0.141,0.519,133.509
Renegades,72,0,"Solo",6/30/2015,0fYVliAYKHuPmECRs1pbRf,195200,2,1,4,0.0144,0.526,0.862,0.0597,0.229,-6.003,0.0905,0.528,90.052
I Loved Her First,56,0,"Solo",10/10/2006,0fZq48okuWkpAgjsWogAJ4,212013,4,1,3,0.295,0.423,0.391,0,0.175,-6.517,0.0262,0.166,137.031
Cater 2 U,53,0,"Solo",1/1/2004,0FZvjrHpAmLKj574M4VwrF,245400,11,0,4,0.286,0.605,0.584,0,0.235,-7.043,0.197,0.464,125.802
We're Gonna Make It,20,0,"Solo",1/1/2005,0G0O6MjxSiZW3FMSW4UdLT,157493,4,0,4,0.748,0.681,0.603,0.0000594,0.422,-7.409,0.0599,0.781,113.046
Signs,23,1,"Solo",1/1/1995,0G0pZ30n9V3mKTvtAbVn46,193733,7,1,4,0.155,0.356,0.825,0,0.99,-8.018,0.0469,0.479,161.816
Save Me,28,0,"Solo",4/10/1990,0g0QTaRwhYDhF2O5nMbU0b,255093,9,0,4,0.176,0.564,0.715,0.00207,0.279,-10.66,0.0305,0.731,139.492
Tell All the People,46,0,"Solo",7/21/1969,0g1NRq4KmbEYgzaPF7G6CG,200267,4,1,4,0.611,0.347,0.328,0,0.289,-14.898,0.0321,0.679,173.411
The Night Is Still Young,29,0,"Solo",6/29/1985,0G1UfvnMvLyypameCwVWYi,326307,0,1,4,0.111,0.54,0.585,0.000013,0.0993,-9.955,0.0312,0.478,82.451
Never Gonna Leave This Bed,52,0,"Solo",1/1/2010,0g31yfQdoNIeOznZRBfaWP,196707,11,1,4,0.104,0.608,0.817,0,0.247,-4.207,0.0296,0.47,117.367
Good Times,63,0,"Solo",7/30/1979,0G3fbPbE1vGeABDEZF0jeG,223026,11,0,4,0.148,0.864,0.876,0.0000719,0.0367,-7.297,0.0488,0.802,110.536
Come Home Soon,0,0,"Solo",11/25/2013,0g3FURLIY3oVX0F1XUSZ88,237819,10,1,4,0.634,0.529,0.226,0,0.115,-11.016,0.0254,0.108,92.492
Understand This Groove,23,0,"Solo",7/9/2012,0G3voJs4mRq7V0ZzT25WQn,380255,8,0,4,0.00059,0.718,0.917,0.583,0.0748,-6.109,0.0433,0.753,129.693
Where Did Your Heart Go?,40,0,"Solo",1/1/1986,0G5fazgowlpnpAuiQ019Ur,342667,10,0,4,0.2,0.561,0.611,0.00305,0.11,-11.981,0.0328,0.621,96.491
He Don't Really Love You,3,0,"Solo",3/6/2012,0G7MgNeHSvai20yTI0dCVy,138298,11,1,3,0.609,0.428,0.604,0.0554,0.391,-6.661,0.0292,0.569,174.113
Separate Ways,31,0,"Solo",7/16/1973,0g8CHbsID9fZ8eDstzYtHi,156440,4,1,4,0.901,0.462,0.371,0.0092,0.133,-15.326,0.0443,0.506,89.976
Here Comes Heaven,0,0,"Solo",1/1/1968,0g9I3oSDuyNF2JfnhM6jsv,137560,7,1,4,0.905,0.322,0.334,0.000135,0.34,-11.583,0.029,0.384,93.056
Emoji A Chain,54,1,"Solo",1/26/2018,0G9rmRmQDFk9O2tzZLyRkc,315185,1,1,4,0.0348,0.891,0.333,0,0.126,-8.316,0.175,0.381,139.965
Deep Enough for Me,0,0,"Solo",1/1/1971,0gAqFooKo1eAybPvN1AboF,191573,9,1,4,0.0203,0.732,0.858,0.0000037,0.117,-9.22,0.047,0.961,141.769
No Money,71,0,"Solo",4/1/2016,0gb1J5UrTpzaU1s3nupgCd,189127,6,0,4,0.0282,0.671,0.916,0.00762,0.24,-4.014,0.0397,0.803,126.01
Maybe Tomorrow,28,0,"Solo",4/12/1971,0gc4RkepQVIVFZsK6HIkH6,280493,7,1,4,0.713,0.41,0.528,0.0000156,0.0632,-12.389,0.0324,0.671,172.953
Don't Trust Me,0,0,"Solo",10/30/2013,0gCIl8WGHMoPNXoEKAPxCm,199099,7,0,4,0.202,0.838,0.525,0,0.0863,-7.95,0.0535,0.721,130.079
"Sing It, Shout It",11,0,"Solo",1/1/1977,0GDySX9bJ2HBEXVXiAvMa2,313507,1,1,4,0.0073,0.491,0.865,0.000037,0.0683,-4.2,0.0346,0.842,122.948
Jimmy Lee,23,0,"Solo",10/1/1986,0GEfl6B48wOuHouzXeq6Cf,346987,0,1,4,0.159,0.744,0.65,0,0.164,-10.737,0.0574,0.778,117.568
You Ought to Be Havin' Fun,26,0,"Solo",1/1/1976,0GEMqWyxl6gGHWFnFkB9Cc,186733,0,1,4,0.161,0.752,0.585,0.0188,0.402,-13.004,0.112,0.957,116.641
Linger,73,0,"Solo",3/1/1993,0gEyKnHvgkrkBM6fbeHdwK,274707,7,1,4,0.0783,0.439,0.434,0.0000487,0.14,-14.918,0.0265,0.204,94.845
Leona,3,0,"Solo",1/1/1975,0GFI2nBSM3q1U08LnG6GVV,278667,7,1,4,0.192,0.581,0.831,0.0382,0.525,-10.841,0.0498,0.826,161.563
I Wish You Could Be Here,6,0,"Solo",1/1/2002,0gfR37IVa4oXLsSWeS7fuH,169427,7,1,4,0.182,0.436,0.434,0.735,0.112,-13.358,0.0336,0.619,151.172
Love,5,0,"Solo",6/1/2008,0GFWbGla5KIxGz9Vq3Te5e,208666,1,1,4,0.537,0.518,0.28,0.00895,0.155,-13.983,0.0264,0.17,78.09
Love Is Strange,2,0,"Solo",1/1/1968,0gFZitgVZGlCHVuxRZYBK5,182093,0,1,4,0.668,0.646,0.602,0.0000026,0.416,-9.053,0.0273,0.864,104.938
Whatchulookinat,0,0,"Solo",5/1/2012,0gG4cQnWh8ULP8nzNlDKEy,179212,4,0,4,0.371,0.859,0.772,0,0.0876,-6.398,0.12,0.747,106.548
Missing You,28,0,"Solo",9/21/1999,0gGvOWau1bH5r5UH2PsyWj,226853,3,1,4,0.0575,0.633,0.763,0.0000276,0.0993,-7.652,0.0292,0.495,102.991
Woman,69,0,"Solo",11/17/1980,0GGxVTb0UwDwdaKNjBdCn3,212933,3,1,4,0.378,0.588,0.656,0.00227,0.042,-6.373,0.0224,0.746,79.701
Bring It On Home To Me,15,0,"Solo",1/1/1993,0gh9MaV9g5shq3Y6BBTTX4,151467,0,1,4,0.183,0.716,0.418,0.000808,0.138,-14.066,0.0398,0.891,123.465
Delta Lady,37,0,"Solo",11/1/1969,0gHjMu0zgdBA0GcaA6B6x0,170160,0,1,4,0.436,0.492,0.574,0,0.482,-11.036,0.0514,0.777,136.094
Hallelujah,43,0,"Solo",11/18/2015,0GhuwiwcAuw3zU5QHCmBiP,200000,2,1,3,0.799,0.24,0.437,0.0764,0.0885,-7.44,0.0324,0.0747,89.538
Easy Come Easy Go,42,0,"Solo",7/20/1990,0giUVQS9tpiaJJ5D9UeX6Y,245240,1,1,4,0.0128,0.687,0.68,0.0000173,0.0702,-10.835,0.0299,0.825,118.03
"Hold Me, Touch Me (Think Of Me When We're Apart)",24,0,"Solo",1/1/1978,0gIWCk4xiMOxbe8Q4IKenu,220773,2,1,4,0.387,0.522,0.532,0.00011,0.0681,-8.476,0.025,0.588,107.961
Spaceship Superstar,27,0,"Solo",10/4/2017,0gJ7q3BsZBrWmtqC54z1QA,248000,11,0,4,0.208,0.426,0.769,0.0000216,0.323,-9.703,0.0634,0.0592,144.496
Dancing Queen,74,0,"Solo",1/1/1976,0GjEhVFGZW8afUYGChu3Rr,230400,9,1,4,0.358,0.543,0.87,0.000939,0.792,-6.514,0.0428,0.754,100.804
A natural man,15,0,"Solo",9/8/2015,0gjkxwlt3Y7JJ30ddljqBW,216093,5,0,4,0.668,0.663,0.708,0.0000577,0.318,-10.803,0.1,0.807,136.276
American Ride,58,0,"Solo",10/6/2009,0gjqyr5z7poniYymKRwsCN,165693,9,1,4,0.0829,0.519,0.907,0.0000016,0.325,-2.681,0.0665,0.794,174.085
Because of You,68,0,"Solo",1/1/2004,0gJvqi9QyASOCtJu99tytc,219493,5,0,4,0.248,0.587,0.583,0,0.124,-5.284,0.0313,0.15,139.92
I Could Never Be President,5,0,"Solo",1/1/1977,0gkEEKRTwtLdz8NDEfidJ3,136800,11,0,4,0.195,0.662,0.384,0.0176,0.196,-17.669,0.033,0.92,112.315
A Deeper Love - (Tribute to Aretha Franklin),0,0,"Solo",12/7/2009,0GKJfYSyiYi4Yzk18Oi8vf,282507,4,0,4,0.0163,0.824,0.838,0.000255,0.308,-7.045,0.0437,0.761,123.868
Girlfight,39,1,Collaboration,1/1/2005,0GkkiqqRdjqmRDrWfTdemH,234733,11,1,4,0.0131,0.745,0.62,0,0.118,-8.24,0.148,0.603,99.985
I Wish I Was Eighteen Again,7,0,"Solo",6/1/2011,0gKlfjQCqFLVgeP88a9HjE,205627,10,1,3,0.728,0.469,0.222,0,0.137,-17.945,0.0302,0.463,83.251
Quentin's Theme,13,0,"Solo",1/1/2009,0GkUyetx2PbJONI4rusNmA,118789,1,1,3,0.541,0.165,0.356,0.904,0.204,-11.127,0.0316,0.443,100.621
The Feeling Is Gone,8,0,"Solo",1/1/2010,0gkxAsG2Lng71KBT31TZNd,150467,7,1,3,0.351,0.421,0.492,0.0000016,0.215,-5.808,0.0249,0.194,95.006
Atlas,2,0,"Solo",11/6/2015,0gKY7YPpbC7dnUol9cQxIo,226655,1,0,4,0.706,0.572,0.355,0.871,0.0901,-17.848,0.0353,0.156,140.084
Miss Movin' On,59,0,"Solo",7/16/2013,0gL0Xf8CN95HmgfEYYLRZV,193733,6,1,4,0.0332,0.466,0.842,0.0000091,0.349,-2.937,0.0513,0.418,75
Never Enough,75,0,"Solo",12/8/2017,0Gl5s8IhMmQE5YQwM8Qx1J,207787,8,1,3,0.423,0.277,0.394,0,0.0952,-8.903,0.0336,0.227,86.777
Good Thing,57,0,Collaboration,7/26/2019,0gl74IvGW0tzX1Cw15Thic,182387,8,1,4,0.0426,0.516,0.825,0,0.127,-6.259,0.042,0.866,125.733
Wild Thing,56,0,"Solo",1/1/1989,0gljI0CtjpdZK6ecidfxto,263573,7,1,4,0.000507,0.943,0.685,0.0000086,0.0604,-11.903,0.188,0.813,125.515
Vision of Love,56,0,"Solo",6/12/1990,0gLQ6jhJsyYfl7PrD1RZ7X,209293,5,1,3,0.442,0.256,0.463,0,0.121,-10.959,0.0382,0.354,205.362
Upgrade U,59,0,Collaboration,5/29/2007,0GLUBbX4daHJkT3RQHEOia,273053,7,1,4,0.00182,0.593,0.68,0.0000484,0.31,-5.556,0.335,0.483,84.547
How You Remind Me,76,0,"Solo",9/11/2001,0gmbgwZ8iqyMPmXefof8Yf,223840,10,1,4,0.00135,0.446,0.764,0,0.099,-5.042,0.033,0.543,172.094
Keep Coming Back,31,0,"Solo",1/1/1997,0GMFC1osUTm2qKycgHdwWD,409360,9,1,4,0.115,0.72,0.478,0.0000227,0.104,-11.074,0.0239,0.672,97.073
Start a Band (with Keith Urban),40,0,Collaboration,11/4/2008,0GneFCOVzvi6ok0oRC7Kfu,324587,5,1,4,0.0782,0.603,0.849,0.000505,0.0986,-6.527,0.0647,0.667,122.557
Over and Over,7,0,"Solo",3/15/1990,0GnotRXSFA4Zqxfc6TUQ8j,210227,1,0,4,0.0479,0.809,0.594,0,0.0998,-8.642,0.0295,0.756,109.335
Something Real (Inside Me/Inside You),22,0,"Solo",1/1/1987,0GnZ9i0DsWh3Xq82qJ7zKB,261400,6,0,4,0.381,0.605,0.75,0.000524,0.294,-12.65,0.0368,0.571,110.013
Tongue Tied,77,0,"Solo",9/2/2011,0GO8y8jQk1PkHzS31d699N,218013,3,1,4,0.00847,0.56,0.936,0,0.161,-5.835,0.0439,0.371,112.96
Summer Of '69,80,0,"Solo",11/5/1984,0GONea6G2XdnHWjNZd6zt3,216053,2,1,4,0.0183,0.508,0.834,0,0.0732,-6.205,0.0386,0.774,139.131
Nice 'N' Slow,30,0,"Solo",1/1/1988,0GPB7AjTSh3j0aboIzEojn,316173,1,0,4,0.454,0.743,0.558,0,0.105,-9.196,0.0348,0.789,103.987
7 Days,69,0,"Solo",1/1/2001,0gPQTLaqHDgdupKEok7J2x,235133,4,0,4,0.23,0.659,0.812,0,0.0951,-7.499,0.0487,0.888,83.013
Heartless,40,0,"Solo",1/1/2008,0GqGG2AL4G0Uhpruzxjku8,180160,7,1,1,0.000413,0.321,0.986,0.000519,0.491,-5.184,0.143,0.339,106.5
La Grange,33,0,"Solo",5/5/2017,0gQic5Bzrm8aPfOUSeEhbR,230707,4,0,4,0.0726,0.546,0.453,0.0131,0.149,-16.236,0.18,0.642,162.02
I Wanna Go Back,46,0,"Solo",10/15/1986,0gqy8H7byrHRhBVtKkMVKy,235493,10,1,4,0.237,0.61,0.734,0.0000602,0.0489,-9.862,0.034,0.701,111.698
Can't Wait - Extended Version,37,1,"Solo",1/1/1994,0gr7MtWpDjyWK3E0xCbJCX,252613,1,1,4,0.0635,0.633,0.601,0.00144,0.0712,-9.82,0.482,0.556,91.99
Getcha Back,35,0,"Solo",1/1/2003,0gRFT4DkEpiYuSc2KlebWF,181493,1,0,4,0.823,0.627,0.905,0.0000121,0.319,-6.002,0.048,0.701,114.967
All By Myself,60,0,"Solo",2/28/1996,0gsl92EMIScPGV1AU35nuD,312307,11,0,4,0.348,0.344,0.325,0.0239,0.0686,-10.005,0.0287,0.0773,118.556
One Step at a Time,6,0,"Solo",1/1/2000,0Gtc9G28Mh1WaZXLYPXjXY,124440,7,0,4,0.431,0.716,0.403,0,0.264,-11.959,0.044,0.696,108.082
All Summer Long,6,0,"Solo",8/1/2008,0gTEBEvVYhVAbq0M7ZuWhe,296347,7,1,4,0.00825,0.606,0.885,0,0.0634,-4.377,0.0336,0.855,102.992
The Ballad Of Jayne,49,0,"Solo",1/1/1989,0gTEvnqaTPmrDvzbKZtQuw,274107,6,1,4,0.0337,0.455,0.363,0.000031,0.107,-14.165,0.0314,0.167,61.496
Owner of a Lonely Heart,67,0,"Solo",6/1/1983,0GTK6TesV108Jj5D3MHsYb,266040,7,1,4,0.306,0.695,0.746,0.00524,0.368,-8.12,0.0387,0.885,125.123
